Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	Gurley, Todd	LA	RB	1.22	1	4		4896		
2	Bell, Le'Veon	PIT	RB	2.19	1	6		4896		
3	Johnson, David	ARZ	RB	3.38	1	8		4896		
4	Elliott, Ezekiel	DAL	RB	3.73	1	8		4896		
5	Brown, Antonio	PIT	WR	5.09	1	9		4896		
6	Kamara, Alvin	NO	RB	6.14	1	12		4896		
7	Hopkins, DeAndre	HOU	WR	7.85	1	15		4895		
8	Barkley, Saquon	NYG	RB	7.96	2	19		4896		
9	Hunt, Kareem	KC	RB	9.15	1	18		4896		
10	Beckham, Odell	NYG	WR	10.49	5	18		4896		
11	Gordon, Melvin	LAC	RB	11.28	1	21		4896		
12	Fournette, Leonard	JAX	RB	11.55	2	20		4896		
13	Jones, Julio	ATL	WR	13.13	5	21		4896		
14	Cook, Dalvin	MIN	RB	14.03	1	23		4896		
15	Thomas, Michael	NO	WR	14.69	2	23		4896		
16	Allen, Keenan	LAC	WR	16.07	8	27		4895		
17	McCaffrey, Christian	CAR	RB	17.38	2	28		4896		
18	Adams, Davante	GB	WR	19.24	1	28		4896		
19	Green, A.J.	CIN	WR	19.39	9	31		4896		
20	Freeman, Devonta	ATL	RB	21.19	9	32		4896		
21	Evans, Mike	TB	WR	22.53	10	35		4896		
22	Mixon, Joe	CIN	RB	23.95	11	36		4896		
23	McCoy, LeSean	BUF	RB	24.32	7	74		4896		
24	Gronkowski, Rob	NE	TE	24.46	2	41		4896		
25	Howard, Jordan	CHI	RB	26.25	13	46		4896		
26	McKinnon, Jerick	SF	RB	26.51	2	126		4896		
27	Kelce, Travis	KC	TE	27.59	11	44		4896		
28	Hill, Tyreek	KC	WR	28.70	13	47		4895		
29	Baldwin, Doug	SEA	WR	28.82	17	48		4896		
30	Thielen, Adam	MIN	WR	29.49	14	43		4896		
31	Hilton, T.Y.	IND	WR	30.88	13	50		4896		
32	Diggs, Stefon	MIN	WR	33.64	17	51		4896		
33	Fitzgerald, Larry	ARZ	WR	34.49	20	56		4896		
34	Drake, Kenyan	MIA	RB	35.94	13	57		4895		
35	Ertz, Zach	PHI	TE	36.30	13	62		4896		
36	Henry, Derrick	TEN	RB	37.14	11	62		4896		
37	Ingram, Mark	NO	RB	37.65	13	69		4896		
38	Cooper, Amari	OAK	WR	37.80	13	57		4896		
39	Robinson, Allen	CHI	WR	41.32	22	60		4896		
40	Cooks, Brandin	LA	WR	42.87	13	68		4896		
41	Thomas, Demaryius	DEN	WR	43.98	25	65		4896		
42	Ajayi, Jay	PHI	RB	45.33	22	69		4896		
43	Gordon, Josh	CLE	WR	45.46	17	98		4896		
44	Tate, Golden	DET	WR	46.12	27	63		4896		
45	Smith-Schuster, JuJu	PIT	WR	46.29	25	61		4896		
46	Collins, Alex	BAL	RB	46.65	22	94		4896		
47	Jeffery, Alshon	PHI	WR	48.36	12	103		4896		
48	Landry, Jarvis	CLE	WR	48.69	21	75		4895		
49	Rodgers, Aaron	GB	QB	49.77	3	72		4896		
50	Jones, Marvin	DET	WR	51.54	18	79		4896		
51	Penny, Rashaad	SEA	RB	51.88	19	162		4896		
52	Lewis, Dion	TEN	RB	51.89	20	104		4896		
53	Michel, Sony	NE	RB	55.35	18	146		4896		
54	Miller, Lamar	HOU	RB	57.92	24	115		4896		
55	Guice, Derrius	WAS	RB	59.79	13	237		4348		
56	Engram, Evan	NYG	TE	61.35	26	96		4896		
57	Coleman, Tevin	ATL	RB	63.07	26	91		4896		
58	Watkins, Sammy	KC	WR	63.23	36	98		4896		
59	Crabtree, Michael	BAL	WR	63.34	37	102		4896		
60	Edelman, Julian	NE	WR	64.33	31	126		4896		
61	Jones, Ronald	TB	RB	64.68	29	160		4896		
62	Hyde, Carlos	CLE	RB	65.20	12	122		4895		
63	Funchess, Devin	CAR	WR	66.22	36	106		4896		
64	Graham, Jimmy	GB	TE	67.73	18	106		4896		
65	Davis, Corey	TEN	WR	67.76	39	107		4896		
66	Wilson, Russell	SEA	QB	68.22	13	103		4896		
67	Olsen, Greg	CAR	TE	68.61	37	96		4896		
68	Freeman, Royce	DEN	RB	68.72	16	234		4895		
69	Woods, Robert	LA	WR	70.13	35	112		4895		
70	Cohen, Tarik	CHI	RB	70.40	30	124		4896		
71	Thompson, Chris	WAS	RB	71.79	10	145		4896		
72	Watson, Deshaun	HOU	QB	72.41	15	108		4896		
73	Burkhead, Rex	NE	RB	73.88	8	177		4896		
74	Johnson, Duke	CLE	RB	76.11	29	128		4896		
75	Hogan, Chris	NE	WR	76.20	34	176		4896		
76	Sanders, Emmanuel	DEN	WR	77.44	28	124		4896		
77	Kupp, Cooper	LA	WR	77.50	35	113		4896		
78	Fuller, Will	HOU	WR	77.94	46	121		4896		
79	Walker, Delanie	TEN	TE	80.26	37	111		4896		
80	Brady, Tom	NE	QB	80.56	10	109		4896		
81	Chubb, Nick	CLE	RB	81.03	32	165		4895		
82	Goodwin, Marquise	SF	WR	81.34	27	119		4896		
83	Garcon, Pierre	SF	WR	82.24	46	155		4896		
84	Crowder, Jamison	WAS	WR	83.05	42	120		4896		
85	Rudolph, Kyle	MIN	TE	84.89	27	117		4896		
86	Lynch, Marshawn	OAK	RB	85.29	42	182		4896		
87	Williams, Jamaal	GB	RB	87.18	36	137		4896		
88	Jones, Aaron	GB	RB	88.92	42	151		4896		
89	Cobb, Randall	GB	WR	90.83	49	163		4896		
90	Newton, Cam	CAR	QB	91.20	38	120		4896		
91	Nelson, Jordy	OAK	WR	91.56	27	154		4895		
92	Agholor, Nelson	PHI	WR	92.85	49	136		4896		
93	Crowell, Isaiah	NYJ	RB	93.12	51	160		4896		
94	Johnson, Kerryon	DET	RB	93.37	36	238		4893		
95	Anderson, C.J.	CAR	RB	94.07	49	165		4896		
96	Mack, Marlon	IND	RB	94.15	41	167		4896		
97	Wentz, Carson	PHI	QB	95.64	30	135		4896		
98	Parker, DeVante	MIA	WR	96.72	45	218		4896		
99	Brees, Drew	NO	QB	97.01	36	122		4896		
100	Bryant, Dez	FA	WR	99.28	37	240		4893		
101	Burton, Trey	CHI	TE	99.84	44	182		4896		
102	Reed, Jordan	WAS	TE	100.17	60	160		4896		
103	Shepard, Sterling	NYG	WR	100.70	54	160		4895		
104	Anderson, Robby	NYJ	WR	102.09	51	161		4896		
105	Cousins, Kirk	MIN	QB	105.81	26	140		4896		
106	Doyle, Jack	IND	TE	106.17	54	156		4896		
107	Stills, Kenny	MIA	WR	107.78	69	158		4896		
108	Stafford, Matthew	DET	QB	111.84	59	139		4896		
109	Garoppolo, Jimmy	SF	QB	111.96	37	151		4896		
110	Lee, Marqise	JAX	WR	112.38	65	178		4896		
111	Benjamin, Kelvin	BUF	WR	112.57	63	180		4896		
112	Kittle, George	SF	TE	112.80	65	166		4896		
113	White, James	NE	RB	116.50	57	192		4896		
114	Riddick, Theo	DET	RB	117.01	62	203		4896		
115	Roethlisberger, Ben	PIT	QB	117.55	41	155		4895		
116	Bernard, Giovani	CIN	RB	120.23	47	182		4896		
117	Rivers, Philip	LAC	QB	120.67	62	152		4896		
118	Foreman, D'Onta	HOU	RB	121.12	57	234		4891		
119	Luck, Andrew	IND	QB	121.17	45	170		4896		
120	Montgomery, Ty	GB	RB	121.44	69	189		4896		
121	Matthews, Rishard	TEN	WR	125.09	71	235		4896		
122	Jaguars, Jacksonville	JAX	TDSP	126.18	46	183		4896		
123	Booker, Devontae	DEN	RB	126.63	55	218		4895		
124	Goff, Jared	LA	QB	126.81	38	182		4896		
125	Mariota, Marcus	TEN	QB	128.39	70	167		4896		
126	Carson, Chris	SEA	RB	129.37	51	231		4893		
127	Mahomes, Patrick	KC	QB	129.38	73	171		4896		
128	Ryan, Matt	ATL	QB	129.81	83	167		4896		
129	Njoku, David	CLE	TE	131.67	71	192		4896		
130	Howard, O.J.	TB	TE	131.89	76	199		4896		
131	Doctson, Josh	WAS	WR	131.95	70	235		4895		
132	Hurns, Allen	DAL	WR	134.53	72	239		4862		
133	Meredith, Cameron	NO	WR	137.38	79	238		4895		
134	Clement, Corey	PHI	RB	137.97	68	228		4896		
